Area,Room,Price,Price(USD)
63,1,1850000000,61666.67
60,1,1850000000,61666.67
79,2,550000000,18333.33
95,2,902500000,30083.33
123,2,7000000000,233333.33
70,2,2050000000,68333.33
87,2,600000000,20000
59,1,2150000000,71666.67
54,2,493000000,16433.33
71,1,2370000000,79000
68,2,2450000000,81666.67
64,1,2100000000,70000
54,1,1690000000,56333.33
136,3,11000000000,366666.67
95,2,5000000000,166666.67
63,1,570000000,19000
155,3,6700000000,223333.33
64,2,1450000000,48333.33
140,3,6400000000,213333.33
42,1,1390000000,46333.33
93,2,7000000000,233333.33
87,2,2500000000,83333.33
65,1,1880000000,62666.67
99,2,2277000000,75900
105,2,7150000000,238333.33
160,3,14945000000,498166.67
77,2,1771000000,59033.33
123,2,4059000000,135300
110,2,630000000,21000
100,2,3200000000,106666.67
90,2,1500000000,50000
49,1,2200000000,73333.33
96,2,7872000000,262400
67,2,2350000000,78333.33
68,2,2500000000,83333.33
62,1,2150000000,71666.67
55,1,2150000000,71666.67
110,2,3750000000,125000
129,2,5250000000,175000
109,2,4830000000,161000
58,1,3400000000,113333.33
55,1,3850000000,128333.33
150,2,1200000000,40000
60,2,2650000000,88333.33
130,3,5000000000,166666.67
88,2,4750000000,158333.33
51,1,2980000000,99333.33
113,3,7000000000,233333.33
110,2,2035000000,67833.33
60,1,2460000000,82000
98,2,540000000,18000
62,2,1450000000,48333.33
150,3,10000000000,333333.33
75,2,635000000,21166.67
61,1,2030000000,67666.67
61,1,2030000000,67666.67
72,2,2350000000,78333.33
100,2,3000000000,100000
122,3,7200000000,240000
215,3,1750000000,58333.33
101,2,3300000000,110000
67,2,2800000000,93333.33
72,2,2200000000,73333.33
63,1,2200000000,73333.33
75,2,2200000000,73333.33
109,2,3500000000,116666.67
122,2,7000000000,233333.33
70,1,3100000000,103333.33
60,1,2450000000,81666.67
53,1,1920000000,64000
90,1,850000000,28333.33
72,2,1650000000,55000
74,2,1700000000,56666.67
88,3,560000000,18666.67
63,1,2150000000,71666.67
114,3,5500000000,183333.33
151,3,10200000000,340000
42,1,1760000000,58666.67
74,2,1700000000,56666.67
88,3,560000000,18666.67
63,1,2150000000,71666.67
114,3,5500000000,183333.33
151,3,10200000000,340000
42,1,1760000000,58666.67
300,3,1500000000,50000
110,2,3730000000,124333.33
100,2,620000000,20666.67
140,1,580000000,19333.33
70,2,3050000000,101666.67
60,2,2000000000,66666.67
76,2,2600000000,86666.67
148,3,5990000000,199666.67
75,2,2300000000,76666.67
40,1,1300000000,43333.33
65,2,2270000000,75666.67
